index,judul_berita
1,FK UNAIR Sambut 31 PPDS Program Hybrid TNI
2,Dekan FH UNAIR: Pendidikan Hukum Harus Berubah Agar Dapat Mencetak Pemimpin Masa Depan
3,"Jalani Hidup Sehat, Ini Yang Perlu Disiapkan"
4,"5 Mahasiswa UNAIR Ikuti Student Exchange dan Konferensi di Thailand, Malaysia, dan Singapura"
5,Departemen Komunikasi UNAIR Gelar Kuliah Tamu Kesehatan Mental Remaja
6,Waspadai Resistensi Antibiotik Saat Sakit
7,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric"
8,"Atasi Stunting, Guru Besar FK UNAIR Berikan Penyuluhan di Puskesmas Arosbaya"
9,"Dosen Toksikologi UNAIR Paparkan Toksisitas Etilen Glikol, Senyawa Kimia yang Diduga Penyebab Gagal Ginjal Akut pada Anak"
10,"Mawapres FK UNAIR, Sebulan Borong 4 Gelar Juara"
11,"Semakin Masif, Komunikasi Capres Harus Hindari Politik Identitas"
12,Mahasiswa FKp UNAIR Sabet Juara I Cerdas Cermat NSF Brawijaya
13,Dua Mahasiswa FISIP UNAIR Masuk Nominasi Festival Film Indonesia 2022
14,SDGs Center UNAIR Gelar Workshop Peningkatan Reputasi dan Kualitas Impact
15,"Gagas Inkubator Telur Ikan Bawal Tawar, Mahasiswa UNAIR Raih Juara II Lomba Inovasi Akuakultur Tingkat Nasional"
16,Alumni FKH UNAIR Ciptakan Vitamin Chubby Gummy Pertama di Indonesia
17,Kepatuhan dan Konsistensi Jadi Kunci Keberhasilan Terapi Depresi
18,Seminar FH UNAIR Refleksikan Prospek Lelang Eksekusi Hak Tanggungan dengan Final and Binding
19,Waspadai Gangguan Ginjal Akut pada Anak
20,FORSUNI Jilid 2 Ulas Ruang Ekspresi di Era Keterbukaan
21,Tantangan Bonus Demografi Indonesia dan Pembangunan Berkelanjutan
22,"Kuliah Tamu Sekolah Pascasarjana UNAIR, Direktur Institut KAPAL Perempuan Jelaskan Metode Penerapan Feminisme"
23,SIKIA UNAIR Bangkitkan Bioteknologi Perikanan lewat KONASKAN 2022
24,GENCorps FKp UNAIR Lestarikan Lingkungan Tebar Kepedulian
25,Mahasiswa Ilmu Sejarah UNAIR Dinobatkan sebagai Putri Pariwisata Kalimantan Timur 2022
26,"Kupas Novel Aib dan Nasib, Dosen UNAIR Sampaikan Empat Hal Penting"
27,Kuliah Tamu FIB Dukung Mahasiswa Merintis Bisnis
28,Strategi Kepemimpinan dalam Hadapi Tantangan Krisis Ekonomi
29,SDGs Center UNAIR Danai Summer Course Fakultas
30,Delegasi MYMA FH UNAIR Sabet Juara Dua dalam LKTI Parahyangan Legal Competition 5.0
31,"Hari Santri, Warek SD UNAIR Jelaskan Peran Santri dalam Bidang Ekologi"
32,SHARE ON 2022 Stimulasi Mahasiswa FKM UNAIR Menjadi Berprestasi
33,BPHA UNAIR Selenggarakan Sekolah Legislatif Guna Meningkatkan Keterampilan Persidangan Mahasiswa
34,Co Founder Menjadi Manusia Bahas Self Acceptance di Psychotalk 2022
35,Dosen Psikologi UNAIR Kenalkan Refleksi dan Analogi Self Esteem
36,FKM UNAIR Adakan Tribute to Senior dalam Rangkaian Perayaan  Ulang Tahun ke-29
37,"Jelang SBMPTN, UNAIR Siapkan Mekanisme Protokol Kesehatan dan 28.000 Kapasitas Tes"
38,1.374 Siswa Lolos Jalur SNMPTN 2021 UNAIR
39,Ketua PPMB UNAIR: Indeks Siswa dan Indeks Sekolah Jadi Patokan dalam SNMPTN
40,LTMPT Luncurkan Sistem SNMPTN dan UTBK-SBMPTN Tahun 2021
41,"Kali Pertama, UNAIR Kukuhkan Mahasiswa Baru Secara Online"
42,UNAIR Sukses Gelar Ujian Mandiri Secara Online
43,"Pertama, UNAIR Lakukan Seleksi Jalur Mandiri dengan Online"
44,UNAIR Segera Buka Jalur Mandiri Regular dan Kemitraan
45,Help Center UNAIR Alternatif Bagi Civitas untuk Konsultasi Beragam Permasalahan
46,"Gandeng MNC Portal, DPKKA UNAIR Bahas Optimalisasi Konten Media Sosial"
47,Guru Besar FK UNAIR Respons Ramainya Kasus Gagal Ginjal Akut pada Anak
48,MKSB FIB UNAIR Ikuti Pameran Pendidikan Di Timor Leste
49,"Kuliah Tamu Sekolah Pascasarjana UNAIR, Dr Szabo Zsolt Paparkan Pengawasan Pengadilan terhadap Parlemen"
50,Himpunan Mahasiswa DIII Perpustakaan Ajak Mahasiswa Explore Dunia Desain di Kelas Editing
51,Ustadz Marzuki Imron Paparkan Syarat Menikah Muda
52,"Bukan Ternak Pangan, Bahaya Konsumsi Daging Kucing"
53,Dosen UNAIR Dorong Percepatan Kastrasi Jantan untuk Tekan Populasi Kucing Liar
54,BEM FIB Fasilitasi Mahasiswa Berkarir di Pendidikan Digital
